"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","GRAPES, TABLE TYPE, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>VALUE</b>","GRAPES, TABLE TYPE, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>CV (%)</b>"
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)","1,700","","0.068","","0.075","","1.1","","26",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","1,502,100","","4.414","","21.152","","4.8","","84",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TEBUCONAZOLE = 128997)","3,300","","0.115","","0.204","","1.8","","19",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","2,048,100","","","","","","","","85",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","4,400","","0.074","","0.099","","1.3","","53",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)","8,000","","0.192","","0.22","","1.1","","43",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ZIRAM = 34805)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","200","","0.23","","0.347","","1.5","","1",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)","23,100","","0.487","","0.605","","1.2","","45",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","5,900","","0.675","","0.816","","1.2","","9",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","50,400","","0.922","","2.446","","2.7","","24",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NORFLURAZON = 105801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","1,600","","0.208","","0.217","","1","","9",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","25,500","","0.67","","1.072","","1.6","","28",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","7,500","","1.329","","1.465","","1.1","","6",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)","500","","0.035","","0.036","","1","","16",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SETHOXYDIM = 121001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","160,200","","","","","","","","54",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","100","","0.017","","0.018","","1.1","","7",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BETA-CYFLUTHRIN = 118831)","400","","0.021","","0.021","","1","","24",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)","3,200","","0.503","","0.517","","1","","7",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CLOTHIANIDIN = 44309)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CRYOLITE = 75101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)","1,700","","0.159","","0.178","","1.1","","11",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUBENDIAMIDE = 27602)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)","8,900","","0.395","","0.573","","1.4","","18",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOMYL = 90301)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PETROLEUM DISTILLATE = 63503)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PHOSMET = 59201)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRETHRINS = 69001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIDABEN = 129105)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110008)","1,100","","0.032","","0.033","","1","","39",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM-L = 110009)","1,100","","0.032","","0.033","","1","","39",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINOSAD = 110003)","2,100","","0.096","","0.102","","1.1","","24",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROTETRAMAT = 392201)","3,500","","0.117","","0.118","","1","","35",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (TOTAL)","146,400","","","","","","","","67",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (CYANAMID = 14002)","88,100","","14.969","","17.561","","1.2","","6",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (DIPHACINONE = 67701)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (ETHEPHON = 99801)","5,200","","0.303","","0.314","","1","","20",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (FORCHLORFENURON = 128819)","2,100","","0.38","","0.399","","1.1","","6",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (GIBBERELLIC ACID = 43801)","4,100","","0.026","","0.062","","2.4","","78",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (LAVANDULYL SENECIOAT = 36005)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (METALDEHYDE = 53001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (METHYL ANTHRANILATE = 128725)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (METRAFENONE = 325)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (S-ABSCISIC ACID = 272000)","600","","0.085","","0.087","","1","","8",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (SODIUM TETRATHIOCARBONATE = 128904)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","1,417,400","","","","","","","","80",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS PUMILUS = 6485)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBT. GB03 = 129068)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)","","1.1","","1",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BASIC COPPER SULFATE = 8101)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","1,000","","0.012","","0.022","","1.9","","56",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CALCIUM POLYSULFIDE = 76702)","219,000","","13.079","","24.845","","1.9","","10",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","61,800","","0.445","","1.235","","2.8","","60",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXYCHLO. SUL. = 23503)","89,700","","2.476","","5.074","","2","","21",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","26,800","","0.434","","0.702","","1.6","","45",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENARIMOL = 206600)","100","","0.032","","0.047","","1.5","","4",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)","11,200","","0.461","","0.783","","1.7","","17",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (IPRODIONE = 109801)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (KRESOXIM-METHYL = 129111)","3,800","","0.121","","0.201","","1.7","","23",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANCOZEB = 14504)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANEB = 14505)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","7,400","","0.104","","0.234","","2.2","","38",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","100","","0.001","","0.001","","1.9","","56",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)","14,900","","0.48","","1.008","","2.1","","18",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)","1,800","","0.086","","0.113","","1.3","","19",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","2,127,900","","4.13","","31.436","","7.6","","81",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TEBUCONAZOLE = 128997)","6,700","","0.091","","0.188","","2.1","","42",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","2,609,800","","","","","","","","88",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","5,200","","0.068","","0.116","","1.7","","54",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)","3,300","","0.192","","0.198","","1","","20",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ZIRAM = 34805)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIURON = 35505)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","3,600","","0.07","","0.223","","3.2","","19",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)","33,500","","0.406","","1.146","","2.8","","35",""
"SURVEY","2009","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","GRAPES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE AMM. SALT = 103604)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
